CHEIE,COD_SMIS,TITLU_PROIECT,NUME_BENEFICIAR,NUMAR_AUTORIZARE,DATA_DEPUNERE_CERERE,VALOARE_ELIGIBILA_CERUTA,DATA_AUTORIZATA,VALOARE_AUTORIZATA,DATA_ULTIMEI_PLATI,VALOARE_RAMBURSATA,MOTIV_INTIRZIERE,COD_BENEFICIAR,COD_PO,COD_AP,COD_DMI,COD_OPER,REGIUNEA_BENEFICIARULUI,JUDETUL_BENEFICIARULUI,LOCALITATEA_BENEFICIARULUI,REIMBURS_OP_LIST
35806\4,"35,806",PROGRAM NATIONAL DE FORMARE PROFESIONALA A SPECIALISTILOR SI INTERMEDIARILOR DIN ASIGURARI,FUNDATIA INSTITUTUL DE MANAGEMENT IN ASIGURARI,4,10/12/2012 00:00:00,"839,165",02/06/2013 00:00:00,"839,115",,,,"11,187",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
43929\8,"43,929",Dezvoltare durabila in comunitati rurale,ROMAIR CONSULTING S.R.L.,8,08/30/2013 00:00:00,"201,780",09/17/2013 00:00:00,"201,780",,,,"9,978",4,5,5.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
36460\3,"36,460",Cresterea adaptabilitatii personalului si intreprinderilor din sectorul medical prin formare profesionala si servicii de calitate,Sisteme de Management Pegas SRL,3,05/03/2012 00:00:00,,,,,,,"11,361",4,3,3.2,***,CENTRU,MURES,MUNICIPIUL TÂRGU MURES,
27661\2,"27,661",Modernizare statie de transformare 110/20 kV Basarabi -RA,CEZ DISTRIBUTIE S.A.,2,03/28/2013 00:00:00,,,,,,,"3,840",3,4,1,2,SUD-VEST OLTENIA,DOLJ,MUNICIPIUL CRAIOVA,
44660\4,"44,660",CONRIS - Imbunatatirea calitatii resurselor umane din zonele rurale ale judetului Iasi in vederea facilitarii accesului la ocupare in domeniul constructiilor,CONEST SA,4,06/21/2013 00:00:00,"324,822",07/12/2013 00:00:00,"324,822",,,,"9,944",4,5,5.2,***,NORD-EST,IASI,MUNICIPIUL IASI,
20213\3,"20,213","Turism balnear dambovitean, traditie si continuitate",Consiliul Judetean Dambovita,3,02/28/2013 00:00:00,,,,,,,64,1,5,5.3,2,SUD - MUNTENIA,DÂMBOVITA,MUNICIPIUL TÂRGOVISTE,
20730\2,"20,730","EU INCLUSIVE ? transfer de date si experiente privind integrarea pe piata muncii a romilor intre Romania, Bulgaria, Italia si Spania","FUNDATIA ,,SOROS'",2,,,,,,,,"1,768",4,6,6.4,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
43343\2,"43,343","Conservarea biodiversitatii printr-un managemet integrat al ariei naturale protejate ""Moldova Superioara""",Asociatia Grupul Ecologic de Colaborare GEC Bucovina,2,10/22/2013 00:00:00,,,,,,,"3,839",2,4,4.1,***,NORD-EST,SUCEAVA,MUNICIPIUL SUCEAVA,
21877\14,"21,877",E-learnig pentru partenerii sociali,ASOCIATIA FOTBALISTILOR AMATORI SI NONAMATORI – AFAN,14,08/26/2013 00:00:00,,,,,,,"3,818",4,3,3.3,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
27017\5,"27,017",Modernizarea unor statii de cale ferata din Romania - statiile CF Bistrita si Zalau,"COMPANIA NATIONALA DE CAI FERATE CNCF ""CFR"" SA",5,11/23/2012 00:00:00,"1,798,596",07/09/2013 00:00:00,"1,348,947",,,,280,5,2,2.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
