CHEIE,COD_SMIS,TITLU_PROIECT,NUME_BENEFICIAR,NUMAR_AUTORIZARE,DATA_DEPUNERE_CERERE,VALOARE_ELIGIBILA_CERUTA,DATA_AUTORIZATA,VALOARE_AUTORIZATA,DATA_ULTIMEI_PLATI,VALOARE_RAMBURSATA,MOTIV_INTIRZIERE,COD_BENEFICIAR,COD_PO,COD_AP,COD_DMI,COD_OPER,REGIUNEA_BENEFICIARULUI,JUDETUL_BENEFICIARULUI,LOCALITATEA_BENEFICIARULUI,REIMBURS_OP_LIST
35352\15,"35,352","Conservarea biodiversitatii în aria naturala protejata Dealul Istrita 
Judetul Buzau
",Asociatia Ecologica Universitara Galati,15,07/31/2013 00:00:00,"40,321",08/08/2013 00:00:00,"40,321",08/09/2013 00:00:00,"32,257",,"10,738",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 3325/09-AUG-13: 24192.81 lei; OP 3379/14-AUG-13: 8064.27 lei
35512\1,"35,512","Societatea civila, partener activ in procesul de elaborare si evaluare a politicilor publice",Fundatia Centrul de Resurse Juridice,1,03/01/2013 00:00:00,"67,708",05/15/2013 00:00:00,"67,701",05/31/2013 00:00:00,"66,347",,"1,753",6,1,1.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3347/31-MAY-13: 57546.26 lei; OP 3348/31-MAY-13: 8801.19 lei
35635\3,"35,635","Conservarea biodiversitatii in ariile naturale protejate: Padurea Breana Roscani, Padurea Poganesti, Padurea Fundeanu, Padurea Talasmani, Padurea Camnita",ASOCIATIA JUDETEANA A PESCARILOR SPORTIVI DIN GALATI,3,04/27/2012 00:00:00,"63,101",05/17/2012 00:00:00,"63,101",05/28/2012 00:00:00,"44,170",CLARIFICARI,"10,215",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 1547/28-MAY-12: 31550.34 lei; OP 1548/28-MAY-12: 12620.13 lei
35662\1,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,1,12/15/2011 00:00:00,"35,987",01/18/2012 00:00:00,"35,987",01/19/2012 00:00:00,"25,191",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 98/19-JAN-12: 17993.39 lei; OP 99/19-JAN-12: 7197.35 lei
35662\3,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,3,05/30/2012 00:00:00,"34,523",06/22/2012 00:00:00,"34,523",06/26/2012 00:00:00,"24,166",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 1872/26-JUN-12: 17261.39 lei; OP 1873/26-JUN-12: 6904.56 lei
35662\5,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,5,09/07/2012 00:00:00,"63,826",10/02/2012 00:00:00,"63,826",10/04/2012 00:00:00,"51,061",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 3007/04-OCT-12: 38295.77 lei; OP 3008/04-OCT-12: 12765.26 lei
35662\7,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,7,01/23/2013 00:00:00,"90,812",02/25/2013 00:00:00,"90,812",03/15/2013 00:00:00,"72,649",clarificari,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 604/01-MAR-13: 18162.36 lei; OP 792/15-MAR-13: 54487.06 lei
35662\9,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,9,07/09/2013 00:00:00,"80,864",07/23/2013 00:00:00,"80,864",07/29/2013 00:00:00,"64,691",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 3091/29-JUL-13: 48518.16 lei; OP 3092/29-JUL-13: 16172.72 lei
35662\11,"35,662",Management durabil in Siturile Natura 2000: ROSCI0117 Movila lui Burcel si ROSCI0221 Saraturile din Valea Ilenei,Fundatia Corona ,11,08/27/2013 00:00:00,"20,351",09/05/2013 00:00:00,"20,351",09/09/2013 00:00:00,"16,281",,"1,379",2,4,4.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 3776/09-SEP-13: 12210.6 lei; OP 3777/09-SEP-13: 4070.2 lei
35672\1,"35,672",Imbunatatirea capacitatii organizationale de comunicare si gestiune informatii in relatia cu institutiile administratiei publice,ARAS - Asociatia Romana Anti-SIDA,1,06/14/2013 00:00:00,"322,425",07/26/2013 00:00:00,"321,984",07/30/2013 00:00:00,"292,083",,"1,515",6,1,1.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3548/30-JUL-13: 250224.9 lei; OP 3549/30-JUL-13: 41857.92 lei
35712\6,"35,712",Schema inovativa de adaptabilitate si specializare S.I.A.S.,"CAMERA DE COMERT, INDUSTRIE SI AGRICULTURA TIMISOARA",6,10/16/2012 00:00:00,"739,721",03/14/2013 00:00:00,"716,750",04/16/2013 00:00:00,"451,552",,"1,430",4,3,3.2,***,VEST,TIMIS,MUNICIPIUL TIMISOARA,OP 2733/28-MAR-13: 346190.19 lei; OP 2962/16-APR-13: 105362.23 lei
35763\3,"35,763","Competente pentru adaptabilitate si flexibilitate in sistemul de sanatate, in contextul descentralizarii",CNSLR Fratia,3,08/02/2012 00:00:00,,,,02/21/2013 00:00:00,"564,615",,"3,634",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1019/21-FEB-13: 564614.57 lei
35792\7,"35,792","Flexibilitate organizationala, functionala si de ocupare - conditii decisive pentru dezvoltarea economica a intreprinderilor",BARDROM SECURITY SRL,7,03/26/2013 00:00:00,"1,300,944",05/28/2013 00:00:00,"1,262,100",06/13/2013 00:00:00,"1,198,995",,"3,701",4,3,3.2,***,SUD-EST,BRAILA,MUNICIPIUL BRAILA,OP 5627/13-JUN-13: 1019145.99 lei; OP 5628/13-JUN-13: 179849.29 lei
35844\1,"35,844",Eficienta prin tehnologie moderna,DATAPHONEDIVISION,1,09/03/2012 00:00:00,"94,890",03/13/2013 00:00:00,"94,265",03/05/2013 00:00:00,"84,838",,"12,186",3,3,1,1,SUD-EST,VRANCEA,MUNICIPIUL FOCSANI,OP 244/13-MAR-13: 69245.03 lei; OP 404/05-MAR-13: 15593.28 lei
35851\3,"35,851",Formare profesionala pentru personalul medical si manageri din domeniul sanitar prin implementarea de noi tehnologii si actualizarea cunostintelor in domeniul economiei sanitare,DIRECTIA DE SANATATE PUBLICA JUDETEANA CONSTANTA,3,10/02/2012 00:00:00,,,,02/22/2013 00:00:00,"699,874",,"11,196",4,3,3.2,***,SUD-EST,CONSTANTA,MUNICIPIUL CONSTANTA,OP 540/22-FEB-13: 699873.56 lei
35879\2,"35,879",Formarea profesionala si cresterea adaptabilitatii angajatilor si intreprinzatorilor din sectorul productiei de materiale pentru constructii prin promovarea utilizarii noilor tehnologii,Asociatia Producatorilor de Materiale pentru Constructii din România,2,07/02/2012 00:00:00,,,,02/21/2013 00:00:00,"310,218",,"7,687",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1010/21-FEB-13: 310218.42 lei
35886\2,"35,886","Programe de sprijin organizational si formare profesionala pentru personalul angajat din sectorul de celuloza, hartie si carton in vederea adaptarii la dinamica pietei interne si internationale",CEPROHART SA BRAILA,2,08/01/2011 00:00:00,"274,718",10/03/2011 00:00:00,"274,684",,"75,955",,"3,578",4,3,3.2,***,SUD-EST,BRAILA,MUNICIPIUL BRAILA,OP 1054/21-FEB-13: 75955.48 lei
35888\2,"35,888",Planificare strategica - Competente si competitivitate pentru manageri,EMC South Central Europe S.R.L.,2,10/18/2011 00:00:00,"734,996",01/13/2012 00:00:00,"713,271",01/13/2012 00:00:00,"464,856",,"3,777",4,3,3.2,***,BUCURESTI - ILFOV,ILFOV,MOGOSOAIA,OP 302/13-JAN-12: 98142.51 lei; OP 81/06-JAN-12: 366713.16 lei
35888\3,"35,888",Planificare strategica - Competente si competitivitate pentru manageri,EMC South Central Europe S.R.L.,3,01/31/2012 00:00:00,"1,226,705",02/24/2012 00:00:00,"1,226,705",03/20/2012 00:00:00,"935,829",,"3,777",4,3,3.2,***,BUCURESTI - ILFOV,ILFOV,MOGOSOAIA,OP 2032/20-MAR-12: 767040.28 lei; OP 3145/25-APR-12: 168788.47 lei
35956\1,"35,956",Internet broadband si echipamente TIC pentru Lineart,LINEART SRL,1,09/18/2013 00:00:00,"20,779",10/07/2013 00:00:00,"20,779",10/18/2013 00:00:00,"18,701",,"12,961",3,3,1,1,NORD-VEST,CLUJ,MUNICIPIUL CLUJ-NAPOCA,OP 2798/18-OCT-13: 15264.08 lei; OP 2799/18-OCT-13: 3437.32 lei
35985\2,"35,985","Conservarea biodiversitatii in ariile naturale protejate Padurea Seaca-Movileni , Padurea Badeana si Padurea Balteni-Harboanca, Judetul Vaslui",ASOCIATIA PROEDUCATIA VERDE  ,2,04/04/2012 00:00:00,"28,890",05/07/2012 00:00:00,"28,887",05/25/2012 00:00:00,"20,221",,"11,232",2,4,4.1,***,NORD-EST,VASLUI,MUNICIPIUL VASLUI,OP 1452/25-MAY-12: 14443.73 lei; OP 1453/25-MAY-12: 5777.49 lei
33948\3,"33,948",Centrul de tineret un model de consiliere a carierei tinerilor pe parcursul perioadei liceului.,Asociatia Romana de Consiliere si Sprijin A.R.C.S.,3,11/19/2012 00:00:00,"376,455",04/17/2013 00:00:00,"311,540",05/24/2013 00:00:00,"196,270",,"9,769",4,2,2.1,***,SUD-VEST OLTENIA,MEHEDINTI,MUNICIPIUL DROBETA-TURNU SEVERIN,OP 4580/24-MAY-13: 159205.45 lei; OP 4581/24-MAY-13: 37064.49 lei
34847\5,"34,847",Sistem integrat de management al deseurilor in judetul Timis,Consiliul Judetean Timis,5,04/27/2012 00:00:00,"1,756,503",06/29/2012 00:00:00,"852,188",07/10/2012 00:00:00,"835,144",,116,2,2,2.1,***,VEST,TIMIS,MUNICIPIUL TIMISOARA,OP 2003/10-JUL-12: 681750 lei; OP 2004/10-JUL-12: 153393.75 lei
34847\14,"34,847",Sistem integrat de management al deseurilor in judetul Timis,Consiliul Judetean Timis,14,10/14/2013 00:00:00,"6,408",10/14/2013 00:00:00,"6,408",10/15/2013 00:00:00,"6,280",,116,2,2,2.1,***,VEST,TIMIS,MUNICIPIUL TIMISOARA,OP 4517/15-OCT-13: 3454.2 lei; OP 4518/15-OCT-13: 1672.56 lei; OP 4519/15-OCT-13: 1153.52 lei
34863\2,"34,863",Internship Sud -Vest Oltenia,Asociatia - Centrul de Consultanta si Management al Proiectelor Europroject,2,07/13/2012 00:00:00,"204,597",09/26/2012 00:00:00,"204,595",02/21/2013 00:00:00,"158,867",,"2,760",4,2,2.1,***,SUD-VEST OLTENIA,OLT,MUNICIPIUL SLATINA,OP 732/21-FEB-13: 134526.2 lei; OP 7470/13-NOV-12: 24341.13 lei
34912\2,"34,912",Politici publice fundamentate in Invatamantul Superior: o premisa necesara pentru dezvoltarea Romaniei,"Unitatea Executiva pt Finantarea Invat. Superior, a Cercetarii, Dezvoltarii si Inovarii (UEFISCDI)",2,12/28/2012 00:00:00,"1,090,667",01/25/2013 00:00:00,"1,085,387",02/26/2013 00:00:00,"922,579",,"1,432",6,1,1.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3064/26-FEB-13: 922579.12 lei
34952\1,"34,952",Cresterea responsabilizarii administratiei publice prin modernizarea sistemului informatic pentru raportarea situatiilor financiare ale institutiilor publice,Ministerul Finantelor Publice,1,07/24/2013 00:00:00,"946,571",07/26/2013 00:00:00,"755,054",07/30/2013 00:00:00,"641,796",,191,6,1,1.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3530/30-JUL-13: 72562.38 lei; OP 3531/30-JUL-13: 569233.31 lei
35115\10,"35,115","""Reabilitarea sitului poluat istoric-Amplasament fosta fabrica chimica (Comuna Crangurile)""",Consiliul Local CRÂNGURILE,10,07/16/2013 00:00:00,"37,498",08/02/2013 00:00:00,"37,498",08/08/2013 00:00:00,"33,073",,"11,496",2,2,2.2,***,SUD - MUNTENIA,DÂMBOVITA,CRÂNGURILE,OP 3228/05-AUG-13: 6749.62 lei; OP 3278/08-AUG-13: 26323.5 lei
35174\4,"35,174",MOBILitate = Adaptare+Succes - Stimularea mobilitatii fortei de munca corelata cu dinamica pietei muncii la nivel inter - regional,AGENTIA JUDETEANA PENTRU OCUPAREA FORTEI DE MUNCA MURES,4,02/04/2013 00:00:00,"816,826",04/04/2013 00:00:00,"811,629",05/21/2013 00:00:00,"608,641",,"12,663",4,4,4.1,***,CENTRU,MURES,MUNICIPIUL TÂRGU MURES,OP 3921/21-MAY-13: 608640.95 lei
35343\2,"35,343",Parteneri pentru Politici Publice: Imbunatatirea Capacitatii de  Colaborare a ONG-urilor  cu Administratia Publica in contextul Strategiei Europa 2020,Fundatia TERRA Mileniul III  ,2,07/04/2013 00:00:00,"27,558",07/25/2013 00:00:00,"27,558",07/30/2013 00:00:00,"27,007",,"11,242",6,1,1.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3532/30-JUL-13: 23424.36 lei; OP 3533/30-JUL-13: 3582.55 lei
35352\5,"35,352","Conservarea biodiversitatii în aria naturala protejata Dealul Istrita 
Judetul Buzau
",Asociatia Ecologica Universitara Galati,5,07/31/2012 00:00:00,"36,887",09/07/2012 00:00:00,"36,887",09/12/2012 00:00:00,"29,509",,"10,738",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 2823/12-SEP-12: 22131.94 lei; OP 2824/12-SEP-12: 7377.32 lei
35635\6,"35,635","Conservarea biodiversitatii in ariile naturale protejate: Padurea Breana Roscani, Padurea Poganesti, Padurea Fundeanu, Padurea Talasmani, Padurea Camnita",ASOCIATIA JUDETEANA A PESCARILOR SPORTIVI DIN GALATI,6,09/04/2012 00:00:00,"52,066",10/08/2012 00:00:00,"52,066",10/11/2012 00:00:00,"41,653",,"10,215",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 3053/11-OCT-12: 31239.64 lei; OP 3054/11-OCT-12: 10413.21 lei
35636\5,"35,636","""Planuri de management pentru siturile Natura 2000: ROSCI 0014, ROSCI 0106 si ROSCI 0203""",Agentia Romana de Consultanta,5,11/19/2012 00:00:00,"190,481",12/13/2012 00:00:00,"190,233",12/18/2012 00:00:00,"152,186",clarificari,"2,079",2,4,4.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3680/18-DEC-12: 114139.84 lei; OP 3749/19-DEC-12: 38046.62 lei
35636\6,"35,636","""Planuri de management pentru siturile Natura 2000: ROSCI 0014, ROSCI 0106 si ROSCI 0203""",Agentia Romana de Consultanta,6,02/11/2013 00:00:00,"256,032",03/27/2013 00:00:00,"256,032",04/29/2013 00:00:00,"204,826",clarificari,"2,079",2,4,4.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1292/10-APR-13: 51206.4 lei; OP 1643/29-APR-13: 153619.2 lei
35636\7,"35,636","""Planuri de management pentru siturile Natura 2000: ROSCI 0014, ROSCI 0106 si ROSCI 0203""",Agentia Romana de Consultanta,7,07/01/2013 00:00:00,"84,053",07/16/2013 00:00:00,"84,007",07/18/2013 00:00:00,"67,205",clarificari,"2,079",2,4,4.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 2934/18-JUL-13: 50404.03 lei; OP 2935/18-JUL-13: 16801.34 lei
35737\2,"35,737",Proiect de consiliere cariera si certificare pentru Tehnicieni din domeniul Petrochimie/ Energie/ Constructii Marine,PROCER COMPANY S.A.,2,12/14/2011 00:00:00,"979,659",02/21/2012 00:00:00,"972,456",02/28/2012 00:00:00,"583,474",,"11,181",4,5,5.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1818/28-FEB-12: 500328.76 lei; OP 2857/13-APR-12: 83145.01 lei
35755\2,"35,755","Achizitie echipamente TI&C pentru functionarea SMIS la nivelul Organismului Intermediar pentru Cercetare pentru POS CCE, Axa 2",Autoritatea Nationala pentru Cercetare Stiintifica - DG Organism Intermediar pentru Cercetare,2,03/20/2012 00:00:00,"330,207",04/26/2012 00:00:00,"330,207",04/27/2012 00:00:00,"264,165",,26,7,2,2.4,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 85/27-APR-12: 263120 lei; OP 86/27-APR-12: 1045.37 lei
35792\3,"35,792","Flexibilitate organizationala, functionala si de ocupare - conditii decisive pentru dezvoltarea economica a intreprinderilor",BARDROM SECURITY SRL,3,01/18/2012 00:00:00,"1,558,803",03/28/2012 00:00:00,"1,558,747",03/30/2012 00:00:00,"935,248",,"3,701",4,3,3.2,***,SUD-EST,BRAILA,MUNICIPIUL BRAILA,OP 2625/30-MAR-12: 713126.97 lei; OP 4533/25-JUN-12: 222121.52 lei
35806\6,"35,806",PROGRAM NATIONAL DE FORMARE PROFESIONALA A SPECIALISTILOR SI INTERMEDIARILOR DIN ASIGURARI,FUNDATIA INSTITUTUL DE MANAGEMENT IN ASIGURARI,6,05/20/2013 00:00:00,"980,392",06/20/2013 00:00:00,"980,385",07/17/2013 00:00:00,"960,680",,"11,187",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 6470/17-JUL-13: 816577.75 lei; OP 6471/17-JUL-13: 144101.95 lei
35862\4,"35,862",Program de specializare a resurselor umane din domeniile biomedical si biotehnologic,Universitatea din Bucuresti,4,07/18/2012 00:00:00,,,,,"178,538",,97,4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 775/21-FEB-13: 178537.75 lei
35872\1,"35,872",Dezvolttarea capacit?tii de IT la Rolix Impex SRL,ROLIX IMPEX SRL,1,05/30/2012 00:00:00,"40,955",07/17/2012 00:00:00,"40,955",08/16/2012 00:00:00,"36,859",,222,3,3,1,1,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1644/16-AUG-12: 6774.76 lei; OP 1856/31-OCT-12: 30084.67 lei
35876\1,"35,876","Formarea profesionala in domeniul diabetului, al nutritiei si al bolilor metabolice si promovarea utilizarii noilor tehnologii pentru asistentii medicali in vederea eficientizarii managementului activitatilor specifice",ASOCIATIA MEDICALA ROMANA,1,09/13/2011 00:00:00,"111,380",01/06/2012 00:00:00,"111,357",01/27/2012 00:00:00,"70,155",,"11,199",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 668/27-JAN-12: 53785.41 lei; OP 669/27-JAN-12: 16369.47 lei
35882\3,"35,882",Sistem de formare profesionala a personalului medical in domeniul noilor tehnologii din sistemul de sanatate (diagnostic molecular),Institutul National de C-D in Domeniul Patologiei si Stiintelor Biomedicale Victor Babes,3,05/22/2012 00:00:00,,,,10/08/2012 00:00:00,"1,051,811",,"4,518",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 5881/29-AUG-12: 245701.68 lei; OP 6740/08-OCT-12: 806109.21 lei
33951\2,"33,951",GeoTurismPractic,Universitatea Spiru Haret,2,05/15/2012 00:00:00,"81,455",07/18/2012 00:00:00,"81,443",10/08/2012 00:00:00,"55,216",,"1,741",4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 6066/06-SEP-12: 9689.47 lei; OP 6945/08-OCT-12: 45526.83 lei
33951\5,"33,951",GeoTurismPractic,Universitatea Spiru Haret,5,04/02/2013 00:00:00,"193,100",05/20/2013 00:00:00,"158,888",06/13/2013 00:00:00,"139,538",,"1,741",4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 5555/13-JUN-13: 120634.93 lei; OP 5556/13-JUN-13: 18903.21 lei
33979\2,"33,979",Program de practica in terapie intensiva pentru studenti la medicina,Spitalul Universitar de Urgenta Elias,2,07/31/2012 00:00:00,"114,813",04/17/2013 00:00:00,"103,909",05/24/2013 00:00:00,"65,462",,"1,546",4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 4554/24-MAY-13: 53100.18 lei; OP 4555/24-MAY-13: 12362.21 lei
33980\2,"33,980",Stagii de pregatire competitive in domeniul TIC,Universitatea Hyperion ,2,11/29/2012 00:00:00,"265,863",04/16/2013 00:00:00,"230,260",05/24/2013 00:00:00,"190,014",,"7,591",4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 4651/24-MAY-13: 162619.12 lei; OP 4652/24-MAY-13: 27394.48 lei
33983\1,"33,983",MEDICAL ? AID - Program integrat de practica in domeniul medicinei de urgenta si consiliere profesional? pentru studentii in medicina,Ministerul Fondurilor Europene,1,05/29/2012 00:00:00,"133,527",12/19/2012 00:00:00,"118,803",02/21/2013 00:00:00,"60,712",,1,4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 708/21-FEB-13: 60711.87 lei
33994\2,"33,994",Stagii de practica si orientare profesionala pentru o cariera de succes!,GRUP SCOLAR RADU CERNATESCU IASI,2,07/31/2012 00:00:00,"45,589",03/28/2013 00:00:00,"9,702",05/22/2013 00:00:00,"6,112",,"12,102",4,2,2.1,***,NORD-EST,IASI,MUNICIPIUL IASI,OP 3784/22-MAY-13: 4957.77 lei; OP 3785/22-MAY-13: 1154.21 lei
33995\3,"33,995",MASTER PRACTICA - Facilitarea insertiei si adecvarii rapide la piata muncii a masteranzilor din domeniul economie si afaceri internationale prin stagii de practica relevante si de calitate.,Academia de Studii Economice,3,01/10/2013 00:00:00,"81,519",04/17/2013 00:00:00,"81,519",,"55,267",,216,4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 4636/24-MAY-13: 55266.78 lei
33999\2,"33,999",Practica in intreprindere simulata,Convex Network SRL,2,05/15/2012 00:00:00,,,,09/18/2012 00:00:00,"133,729",,"12,080",4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 6203/18-SEP-12: 25704.87 lei; OP 7121/08-OCT-12: 108023.74 lei
33999\3,"33,999",Practica in intreprindere simulata,Convex Network SRL,3,08/02/2012 00:00:00,"278,939",10/24/2012 00:00:00,"269,521",02/21/2013 00:00:00,"202,634",,"12,080",4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 7683/05-DEC-12: 31083.8 lei; OP 835/21-FEB-13: 171549.97 lei
34013\1,"34,013",Distributia in actualitate prin simulare de firma cu suport IT pentru sisteme moderne de automatizare a fortei de vanzari,UNIVERSITATEA BABES-BOLYAI,1,06/01/2012 00:00:00,"105,671",03/07/2013 00:00:00,"88,834",03/21/2013 00:00:00,"55,966",,"212,080,002",4,2,2.1,***,NORD-VEST,CLUJ,MUNICIPIUL CLUJ-NAPOCA,OP 2424/21-MAR-13: 45396.74 lei; OP 2425/21-MAR-13: 10568.78 lei
34013\3,"34,013",Distributia in actualitate prin simulare de firma cu suport IT pentru sisteme moderne de automatizare a fortei de vanzari,UNIVERSITATEA BABES-BOLYAI,3,12/12/2012 00:00:00,"68,690",03/07/2013 00:00:00,"54,093",04/12/2013 00:00:00,"36,501",,"212,080,002",4,2,2.1,***,NORD-VEST,CLUJ,MUNICIPIUL CLUJ-NAPOCA,OP 2820/28-MAR-13: 30065.58 lei; OP 2889/12-APR-13: 6435.55 lei
34013\4,"34,013",Distributia in actualitate prin simulare de firma cu suport IT pentru sisteme moderne de automatizare a fortei de vanzari,UNIVERSITATEA BABES-BOLYAI,4,03/13/2013 00:00:00,"42,312",04/24/2013 00:00:00,"26,997",06/05/2013 00:00:00,"26,457",,"212,080,002",4,2,2.1,***,NORD-VEST,CLUJ,MUNICIPIUL CLUJ-NAPOCA,OP 4933/05-JUN-13: 23245.51 lei; OP 4934/05-JUN-13: 3211.93 lei
34022\1,"34,022",PRO PRACTICA - Facilitarea insertiei pe piata muncii a viitorilor absolventilor de studii superioare din domeniul economic prin stagii de practica la marii angajatori in Romania si UE,Academia de Studii Economice,1,07/03/2012 00:00:00,"51,933",03/25/2013 00:00:00,"1,381",04/29/2013 00:00:00,"1,353",,216,4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3084/29-APR-13: 1188.8 lei; OP 3085/29-APR-13: 164.26 lei
34027\1,"34,027",Integrarea rapida pe piata muncii a studentilor specializati in studii europene si relatii economice internationale prin efectuarea de stagii de pregatire practica,Universitatea Romano-Americana,1,06/29/2012 00:00:00,"366,601",01/16/2013 00:00:00,"366,295",02/25/2013 00:00:00,"283,350",,"1,740",4,2,2.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 1512/22-FEB-13: 239771.4 lei; OP 1540/25-FEB-13: 43578.81 lei
34204\1,"34,204",Dezvoltarea competentelor pentru regenerare urbana (DC-RU),Liga Asociatiilor de Proprietari Habitat,1,04/23/2012 00:00:00,"79,179",07/12/2012 00:00:00,"79,174",10/08/2012 00:00:00,"49,088",,"9,810",4,2,2.3,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 5882/29-AUG-12: 2303.96 lei; OP 6739/08-OCT-12: 46783.91 lei
34204\3,"34,204",Dezvoltarea competentelor pentru regenerare urbana (DC-RU),Liga Asociatiilor de Proprietari Habitat,3,12/19/2012 00:00:00,"136,104",03/27/2013 00:00:00,"136,102",04/29/2013 00:00:00,"84,383",,"9,810",4,2,2.3,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3021/29-APR-13: 80422.54 lei; OP 3022/29-APR-13: 3960.56 lei
34472\2,"34,472",Infrastructura regionala de afaceri si inovare in sectorul IT&C,Municipiul Timisoara,2,11/28/2012 00:00:00,"1,001,100",03/08/2013 00:00:00,"1,001,100",03/29/2013 00:00:00,"500,550",,"2,512",1,1,1.1,2,VEST,TIMIS,MUNICIPIUL TIMISOARA,OP 2348/29-MAR-13: 410450.84 lei; OP 2349/29-MAR-13: 90098.97 lei
34522\1,"34,522",Facilitarea accesului la formare profesionala continua pentru angajatii din domeniul serviciilor sociale si comerciale,ASOCIATIA UMANITARA SPRIJINITI COPIII ,1,06/08/2012 00:00:00,"165,235",03/28/2013 00:00:00,"159,541",05/21/2013 00:00:00,"100,495",,"10,964",4,2,2.3,***,CENTRU,ALBA,MUNICIPIUL ALBA IULIA,OP 3810/21-MAY-13: 95805.01 lei; OP 3811/21-MAY-13: 4690.04 lei
34629\1,"34,629",Upgrade la conexiune internet broadband si achizitii de echipamente TIC pentru SUT CARPATI SA,S.U.T. CARPATI S.R.L.,1,04/20/2012 00:00:00,,,,08/03/2012 00:00:00,"79,866",,"10,285",3,3,1,1,BUCURESTI - ILFOV,ILFOV,ORAS VOLUNTARI,OP 1539/03-AUG-12: 14679.46 lei; OP 1766/22-OCT-12: 65187.02 lei
